ID;Età;Estroversione;Amicalità;Coscienziosità;Stabilità emotiva;Apertura Mentale;Conflitto; ; ; ; ; ; ; ; 
114;23;29;39;22;38;44;Compromesso;;;;;;;;
115;29;39;41;26;28;38;Elusione;;;;;;;;
116;27;37;37;39;36;44;Collaborazione;;;;;;;;
117;28;38;37;42;14;35;Collaborazione;;;;;;;;
118;2;27;45;40;39;43;Accomodamento;;;;;;;;
119;35;45;44;40;39;43;Collaborazione;;;;;;;;
120;24;37;27;33;33;36;Competizione;;;;;;;;
121;2;31;35;33;29;35;Elusione;;;;;;;;
122;27;34;42;37;21;39;Elusione;;;;;;;;
123;26;28;43;36;28;32;Competizione;;;;;;;;
124;26;42;48;30;36;36;Accomodamento;;;;;;;;
125;28;21;38;29;19;45;Competizione;;;;;;;;
126;27;37;40;30;20;33;Competizione;;;;;;;;
127;30;21;45;32;16;37;Elusione;;;;;;;;
128;26;30;35;31;15;48;Collaborazione;;;;;;;;
129;34;35;47;36;34;46;Collaborazione;;;;;;;;
130;26;41;44;44;41;36;Elusione;;;;;;;;
131;31;21;44;30;40;35;Elusione;;;;;;;;
132;26;45;49;37;15;42;Elusione;;;;;;;;
133;25;35;43;31;42;31;Collaborazione;;;;;;;;
134;31;35;43;37;26;41;Elusione;;;;;;;;
135;25;29;38;40;23;38;Compromesso;;;;;;;;
136;47;25;40;46;38;36;Collaborazione;;;;;;;;
137;27;20;44;31;24;45;Elusione;;;;;;;;
138;120;30;24;24;48;18;Elusione;;;;;;;;
139;2;12;48;46;41;31;Collaborazione;;;;;;;;
140;26;37;44;34;17;40;Accomodamento;;;;;;;;
141;2;46;47;36;38;39;Compromesso;;;;;;;;
142;19;31;36;12;17;26;Competizione;;;;;;;;
143;25;44;44;33;36;42;Elusione;;;;;;;;
144;30;38;44;38;23;40;Elusione;;;;;;;;
145;52;36;50;34;42;41;Accomodamento;;;;;;;;
146;27;35;40;34;35;49;Competizione;;;;;;;;
147;35;30;44;22;46;36;Elusione;;;;;;;;
148;31;45;33;40;25;44;Accomodamento;;;;;;;;
149;23;36;43;40;25;39;Accomodamento;;;;;;;;
150;22;39;42;34;40;38;Competizione;;;;;;;;
151;21;45;44;36;22;32;Collaborazione;;;;;;;;
152;57;29;43;32;37;41;Elusione;;;;;;;;
153;32;44;45;33;13;42;Accomodamento;;;;;;;;
154;20;15;33;26;30;33;Elusione;;;;;;;;
155;32;40;40;28;31;34;Elusione;;;;;;;;
156;22;16;35;37;33;31;Compromesso;;;;;;;;
157;26;36;45;33;39;44;Compromesso;;;;;;;;
158;26;37;43;36;34;42;Elusione;;;;;;;;
159;2;33;43;35;34;31;Elusione;;;;;;;;
160;21;19;36;48;34;41;Elusione;;;;;;;;
