ID,Eta,Estroversione,Amicalita,Coscienziosita,Stabilita emotiva,Apertura Mentale,Elusione,Competizione,Accomodamento,Compromesso,Collaborazione,Stile dominante
106,28,20,35,33,28,36,6,3,6,7,8,Collaborazione
107,23,21,45,35,24,45,9,3,6,7,5,Elusione
108,25,25,33,34,27,33,10,1,10,5,4,Elusione
109,24,38,46,47,39,37,8,0,9,4,9,Accomodamento
110,63,23,46,46,43,28,9,2,4,9,6,Elusione
111,24,37,37,35,32,34,10,3,5,3,9,Elusione
112,24,37,37,35,32,34,10,3,5,3,9,Elusione
113,24,29,34,46,32,42,6,5,6,9,4,Compromesso
114,23,29,39,22,38,44,6,2,6,10,6,Compromesso
115,29,39,41,26,28,38,8,5,6,6,5,Elusione
116,28,37,37,39,36,44,6,2,7,6,9,Collaborazione
117,28,38,37,42,14,35,6,3,6,7,8,Collaborazione
118,2,27,45,40,39,43,6,0,10,6,8,Accomodamento
119,35,45,44,40,39,43,8,1,7,5,9,Collaborazione
120,24,37,27,33,33,36,7,12,2,5,4,Competizione
121,2,31,35,33,29,35,10,1,4,7,8,Elusione
122,27,34,42,37,21,39,10,0,7,5,8,Elusione
123,26,28,43,36,28,32,6,9,5,4,6,Competizione
124,26,42,48,30,36,36,9,3,11,2,5,Accomodamento
125,28,21,38,29,19,45,5,9,7,7,2,Competizione
126,27,37,40,30,20,33,8,10,5,2,5,Competizione
127,30,21,45,32,16,37,10,0,8,5,7,Elusione
128,26,30,35,31,15,48,4,6,7,4,9,Collaborazione
129,34,35,47,36,34,46,8,5,4,3,10,Collaborazione
130,26,41,44,44,41,36,9,0,8,6,7,Elusione
131,31,21,44,30,40,35,10,0,8,4,8,Elusione
132,26,45,49,37,15,42,8,2,7,6,7,Elusione
133,25,35,43,31,42,31,7,2,5,7,9,Collaborazione
134,31,35,43,37,26,41,9,5,5,7,4,Elusione
135,25,29,38,40,23,38,4,5,7,8,6,Compromesso
136,47,25,40,46,38,36,8,4,6,3,9,Collaborazione
137,27,20,44,31,24,45,9,4,6,7,4,Elusione
138,120,30,24,24,48,18,0,0,0,0,0,Elusione
139,2,12,48,46,41,31,7,5,6,4,8,Collaborazione
140,26,37,44,34,17,40,5,0,9,9,7,Accomodamento
141,2,46,47,36,38,39,4,7,5,8,6,Compromesso
142,19,31,36,12,17,26,3,9,5,4,9,Competizione
143,25,44,44,33,36,42,11,0,6,9,4,Elusione
144,31,38,44,38,23,40,7,7,6,7,3,Elusione
145,53,36,50,34,42,41,5,1,10,8,6,Accomodamento
146,27,35,40,34,35,49,7,9,3,4,7,Competizione
147,36,30,44,22,46,36,9,2,8,7,4,Elusione
148,31,45,33,40,25,44,5,4,8,6,7,Accomodamento
149,23,36,43,40,25,39,6,3,8,6,7,Accomodamento
150,22,39,42,34,40,38,8,10,4,6,2,Competizione
151,21,45,44,36,22,32,6,6,2,7,9,Collaborazione
152,57,29,43,32,37,41,9,6,4,4,7,Elusione
153,33,44,45,33,13,42,7,4,8,3,8,Accomodamento
